,average_word_Length,average_sentence_length,yule_index,function_words,average_comma_count,author_name
0,3.93,95.24,2.1,4.29,0.29,1
1,3.7,121.71,1.48,21.68,0.37,0
2,3.81,127.53,3.19,5.97,0.63,0
3,3.67,101.54,2.0,4.01,0.31,1
4,4.09,202.3,1.24,3.17,0.19,0
5,3.89,124.19,0.76,14.57,0.2,0
6,3.68,124.24,0.38,4.0,0.08,0
7,3.72,113.84,2.1,4.1,0.3,1
8,3.94,112.71,1.14,4.51,0.23,0
9,3.73,107.93,2.93,5.67,0.42,1
10,4.14,104.75,4.41,4.64,0.6,1
11,4.39,142.19,4.71,4.46,0.58,1
12,3.82,100.79,1.65,5.35,0.23,1
13,4.19,139.04,4.01,4.33,0.82,0
14,3.7,97.46,3.32,5.06,0.48,1
15,3.61,98.09,1.13,6.15,0.14,1
16,3.91,131.12,1.13,7.26,0.3,0
17,3.68,116.86,1.67,4.53,0.24,1
18,3.88,102.11,3.22,4.97,0.47,1
19,3.67,70.1,0.76,7.16,0.1,1
20,4.08,157.61,1.95,4.89,0.4,0
21,3.66,121.65,3.7,5.05,0.53,1
22,3.99,118.27,3.45,5.15,0.71,0
23,3.47,91.19,3.44,5.7,0.43,1
24,3.66,107.08,2.76,6.5,0.36,1
25,4.02,117.15,0.42,5.44,0.05,1
26,3.62,106.74,1.94,6.05,0.24,1
27,4.04,105.62,0.36,5.6,0.08,0
28,3.76,113.52,1.58,6.49,0.2,1
29,4.44,150.99,2.78,9.68,0.63,0
30,3.78,98.02,3.68,4.78,0.72,0
31,3.91,128.43,3.07,4.13,0.59,0
32,3.64,64.89,0.35,9.17,0.06,1
33,4.09,125.49,4.49,4.6,0.64,1
34,3.63,101.93,3.17,4.64,0.49,1
35,3.76,121.05,2.55,3.92,0.36,1
36,3.56,85.86,1.2,5.45,0.18,1
37,4.07,139.2,1.57,3.98,0.31,0
38,3.98,118.08,3.73,5.09,0.54,1
39,3.66,105.25,3.63,3.82,0.56,1
40,3.94,112.44,3.84,4.17,0.53,1
41,3.9,154.94,1.71,5.05,0.32,0
42,3.85,113.1,2.92,3.83,0.41,1
43,3.94,143.94,2.51,4.42,0.49,0
44,4.69,156.02,3.29,3.43,0.71,0
45,3.64,71.52,1.14,7.86,0.16,1
46,3.91,107.68,0.4,7.14,0.06,1
47,4.2,122.37,2.25,10.92,0.54,0
48,3.89,104.52,2.38,6.04,0.36,1
49,3.76,108.77,0.4,4.46,0.06,1
50,4.08,152.49,4.09,2.89,0.63,0
51,3.64,74.53,1.39,9.06,0.37,0
52,4.05,152.18,1.97,3.48,0.38,0
53,3.79,86.47,3.76,5.97,0.46,1
54,3.78,106.84,2.52,7.72,0.68,0
55,4.21,198.13,0.82,4.02,0.13,0
56,3.75,181.96,1.27,3.62,0.24,0
57,3.57,102.5,0.8,4.3,0.12,1
58,3.98,145.47,2.92,5.19,0.57,0
59,3.82,118.61,0.4,3.91,0.06,1
60,3.85,125.5,1.04,11.33,0.27,0
61,3.73,93.52,1.77,9.77,0.48,0
62,3.74,86.47,0.79,6.02,0.11,1
63,3.87,79.39,0.75,6.72,0.12,1
64,3.67,101.42,2.41,3.63,0.37,1
65,3.76,97.25,0.72,7.6,0.19,0
66,3.61,94.71,2.76,3.58,0.43,1
67,3.77,105.07,0.76,5.92,0.1,1
68,4.02,129.9,0.75,5.56,0.16,0
69,3.69,76.68,1.56,6.46,0.21,1
70,3.91,119.53,2.24,8.09,0.6,0
71,4.28,187.54,1.7,4.13,0.26,0
72,4.08,148.76,2.8,3.35,0.53,0
73,3.61,65.89,3.17,6.96,0.4,1
74,3.97,117.6,0.5,14.96,0.14,0
75,3.55,75.46,2.36,4.74,0.3,1
76,3.76,90.76,2.73,4.24,0.4,1
77,3.94,103.12,4.25,4.18,0.65,1
78,4.24,182.43,2.52,3.72,0.4,0
79,3.78,97.83,0.37,9.43,0.05,1
80,4.03,128.31,2.69,4.65,0.56,0
81,3.96,155.23,3.72,5.86,0.74,0
82,4.14,155.21,1.57,4.13,0.32,0
83,3.76,148.89,3.32,5.11,0.89,0
84,4.04,127.67,2.32,5.39,0.48,0
85,3.86,117.64,3.81,5.66,1.01,0
86,3.89,119.71,1.3,12.03,0.33,0
87,4.29,167.79,3.38,3.71,0.52,0
88,3.82,101.01,3.32,4.37,0.46,1
89,3.83,106.23,3.37,4.76,0.66,0
90,3.74,114.92,2.9,6.08,0.77,0
91,3.67,212.08,0.83,2.53,0.15,0
92,3.94,111.12,0.36,9.53,0.1,0
93,3.91,128.38,0.39,4.3,0.07,0
94,4.09,114.87,1.16,4.19,0.23,0
95,3.79,102.4,2.07,4.64,0.27,1
96,3.63,108.35,0.79,4.06,0.12,1
97,4.02,179.76,2.16,5.63,0.42,0
98,3.83,96.54,2.46,4.95,0.34,1
99,4.21,185.96,2.09,3.76,0.32,0
100,3.99,110.75,1.6,5.74,0.25,1
101,3.87,98.28,1.16,7.05,0.18,1
102,3.61,103.05,3.14,6.75,0.4,1
103,3.87,95.44,1.97,5.41,0.3,1
104,4.19,162.73,3.74,3.47,0.58,0
105,4.17,169.94,0.39,4.9,0.07,0
106,3.8,86.29,1.21,5.11,0.17,1
107,3.65,77.37,2.83,5.32,0.36,1
108,3.68,105.39,1.21,3.77,0.19,1
109,4.24,107.55,4.28,5.63,0.62,1
110,3.93,135.09,2.31,3.39,0.44,0
111,4.3,189.73,2.97,3.62,0.46,0
112,3.83,117.81,0.75,4.52,0.15,0
113,3.56,89.28,1.67,24.51,0.41,0
114,4.1,146.69,3.15,4.21,0.65,0
115,3.62,100.23,1.58,4.28,0.25,1
116,3.78,100.48,0.25,16.39,0.07,0
117,3.48,94.87,2.24,8.41,0.29,1
118,4.16,109.67,4.42,5.93,0.55,1
119,4.05,136.54,4.18,5.15,0.83,0
